family,profile_op,operator_version,shape_or_scenario,kernel,invocation,report,Achieved TFLOP/s,L2 / DRAM Bytes,Shared Bank Conflicts,Local Load/Store,FMA Pipe Utilization,Tensor Pipe Utilization,Tensor / HMMA Instructions,Input Passes,MUFU / SFU Instructions,FP Arithmetic Instructions,Shared Load Instructions,Shared Store Instructions,Barrier Stall,MIO Throttle Stall,Short Scoreboard Stall,Launch/End-to-end,Mean/Variance Reduction,Float4 Load/Store Path,Global Requests,Global Sectors,RMS Reduction Work,Float2/Float4 Width,L2 Hit Rate,Score Intermediate,Long Scoreboard Stall,Branch Instructions,Uniform Branch Targets,Active Blocks / SM,Duration,Eligible Warps / Scheduler,LG Throttle Stall,Occupancy Block Limit,Shared Load Wavefronts,Shared Store Wavefronts,Theoretical Occupancy,Waves Per SM
gemm,gemm_naive,gemm_naive,M=N=K=2048,gemm_naive_kernel,6,reports/ncu/gemm_naive_full.ncu-rep,4.474 TFLOP/s,L2 total=4.35 Gbyte; DRAM read=34.36 Mbyte; write=3.29 Mbyte; total=37.65 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,19.28 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,0 inst,0 inst,cycles=0 inst; percent=N/A,cycles=0.04 inst; percent=N/A,cycles=0.01 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=536,870,912 request; store=131,072 request","load=1,073,741,824 sector; store=524,288 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),99.05 %,N/A (metric unavailable),cycles=4.19 inst; percent=N/A,N/A,100 %,N/A,3.84 ms,1.66 warp,cycles=26.97 inst; percent=N/A,24 block,0 wavefront,0 wavefront,100 %,21.33 wave/SM
gemm,gemm_regtile2x2,gemm_regtile2x2,M=N=K=2048,gemm_regtile2x2_kernel,6,reports/ncu/gemm_regtile2x2_full.ncu-rep,16.056 TFLOP/s,L2 total=2.14 Gbyte; DRAM read=33.56 Mbyte; write=2.11 Mbyte; total=35.67 Mbyte,"load=0 conflict; store=16,777,216 conflict",instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,23.13 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"100,663,296 inst","16,777,216 inst",cycles=4.48 inst; percent=N/A,cycles=10.90 inst; percent=N/A,cycles=2.11 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=16,777,216 request; store=131,072 request","load=100,663,296 sector; store=1,048,576 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),98.43 %,N/A (metric unavailable),cycles=2.97 inst; percent=N/A,N/A,100 %,N/A,1.07 ms,1.74 warp,cycles=0.05 inst; percent=N/A,24 block,"201,353,135 wavefront","33,554,432 wavefront",100 %,5.33 wave/SM
gemm,gemm_regtile4x4,gemm_regtile4x4,M=N=K=2048,gemm_regtile4x4_kernel,6,reports/ncu/gemm_regtile4x4_full.ncu-rep,27.671 TFLOP/s,L2 total=1.10 Gbyte; DRAM read=33.56 Mbyte; write=588.03 Kbyte; total=34.15 Mbyte,"load=0 conflict; store=16,777,216 conflict",instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,40.04 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"33,554,432 inst","8,388,608 inst",cycles=1.80 inst; percent=N/A,cycles=3.68 inst; percent=N/A,cycles=1.05 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=8,388,608 request; store=131,072 request","load=83,886,080 sector; store=2,097,152 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),96.97 %,N/A (metric unavailable),cycles=1.23 inst; percent=N/A,N/A,100 %,N/A,620.86 us,1.99 warp,cycles=0.06 inst; percent=N/A,24 block,"100,667,019 wavefront","25,165,824 wavefront",66.67 %,2 wave/SM
gemm,gemm_tiled,gemm_tiled,M=N=K=2048,gemm_tiled_kernel,6,reports/ncu/gemm_tiled_full.ncu-rep,5.863 TFLOP/s,L2 total=4.30 Gbyte; DRAM read=33.67 Mbyte; write=3.30 Mbyte; total=36.97 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,10.09 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"335,544,320 inst","33,554,432 inst",cycles=6.13 inst; percent=N/A,cycles=20.46 inst; percent=N/A,cycles=0.32 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=33,554,432 request; store=131,072 request","load=134,217,728 sector; store=524,288 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),99.02 %,N/A (metric unavailable),cycles=5.59 inst; percent=N/A,N/A,100 %,N/A,2.93 ms,1.34 warp,cycles=0.01 inst; percent=N/A,24 block,"402,688,601 wavefront","33,554,432 wavefront",100 %,21.33 wave/SM
gemm,gemm_tiled_padding,gemm_tiled_padding,M=N=K=2048,gemm_tiled_padding_kernel,6,reports/ncu/gemm_tiled_padding_full.ncu-rep,3.977 TFLOP/s,L2 total=4.30 Gbyte; DRAM read=35.49 Mbyte; write=3.54 Mbyte; total=39.03 Mbyte,"load=0 conflict; store=33,554,432 conflict",instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,6.82 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"536,870,912 inst","33,554,432 inst",cycles=6.90 inst; percent=N/A,cycles=28.44 inst; percent=N/A,cycles=0.25 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=33,554,432 request; store=131,072 request","load=134,217,728 sector; store=524,288 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),99.03 %,N/A (metric unavailable),cycles=4.88 inst; percent=N/A,N/A,100 %,N/A,4.32 ms,1.33 warp,cycles=0.01 inst; percent=N/A,24 block,"536,888,128 wavefront","67,108,864 wavefront",100 %,21.33 wave/SM
gemm,gemm_vectorized_float4,gemm_vectorized_float4,"M=N=K=2048, aligned",gemm_vectorized_float4_kernel,6,reports/ncu/gemm_vectorized_float4_full.ncu-rep,7.470 TFLOP/s,L2 total=2.24 Gbyte; DRAM read=33.56 Mbyte; write=377.86 Kbyte; total=33.94 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,18.03 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,0 inst,0 inst,cycles=0 inst; percent=N/A,cycles=0.00 inst; percent=N/A,cycles=0.00 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=134,217,728 request; store=131,072 request","load=671,088,640 sector; store=2,097,152 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),97.96 %,N/A (metric unavailable),cycles=18.39 inst; percent=N/A,N/A,100 %,N/A,2.30 ms,0.87 warp,cycles=0.01 inst; percent=N/A,24 block,0 wavefront,0 wavefront,100 %,5.33 wave/SM
gemm,gemm_wmma_fp16,gemm_wmma_fp16,"M=N=K=2048, FP16",gemm_wmma_fp16_kernel,6,reports/ncu/gemm_wmma_fp16_full.ncu-rep,20.786 TFLOP/s,L2 total=1.89 Gbyte; DRAM read=16.78 Mbyte; write=1.02 Kbyte; total=16.78 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,2.27 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,0 inst,0 inst,cycles=0 inst; percent=N/A,cycles=44.41 inst; percent=N/A,cycles=6.84 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),"load=16,777,216 request; store=65,536 request","load=134,217,728 sector; store=524,288 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),98.60 %,N/A (metric unavailable),cycles=56.84 inst; percent=N/A,N/A,100 %,N/A,826.50 us,0.20 warp,cycles=35.43 inst; percent=N/A,24 block,0 wavefront,0 wavefront,100 %,2.67 wave/SM
