family,profile_op,operator_version,shape_or_scenario,kernel,invocation,report,Achieved TFLOP/s,L2 / DRAM Bytes,Shared Bank Conflicts,Local Load/Store,FMA Pipe Utilization,Tensor Pipe Utilization,Tensor / HMMA Instructions,Input Passes,MUFU / SFU Instructions,FP Arithmetic Instructions,Shared Load Instructions,Shared Store Instructions,Barrier Stall,MIO Throttle Stall,Short Scoreboard Stall,Launch/End-to-end,Mean/Variance Reduction,Float4 Load/Store Path,Global Requests,Global Sectors,RMS Reduction Work,Float2/Float4 Width,L2 Hit Rate,Score Intermediate,Long Scoreboard Stall,Branch Instructions,Uniform Branch Targets,Active Blocks / SM,Duration,Eligible Warps / Scheduler,LG Throttle Stall,Occupancy Block Limit,Shared Load Wavefronts,Shared Store Wavefronts,Theoretical Occupancy,Waves Per SM
layernorm,layernorm_block_reduce,layernorm_block_reduce,"rows=8192, cols=4096",layernorm_block_reduce_kernel,6,reports/ncu/layernorm_block_reduce_full.ncu-rep,N/A (metric unavailable),L2 total=483.55 Mbyte; DRAM read=134.29 Mbyte; write=96.85 Mbyte; total=231.14 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,10.84 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"655,360 inst","491,520 inst",cycles=3.62 inst; percent=N/A,cycles=0.04 inst; percent=N/A,cycles=0.37 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",1 shifted-Welford state reduction then normalize (source-derived),scalar block kernel,"load=4,259,840 request; store=1,048,576 request","load=16,842,752 sector; store=4,194,304 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),72.72 %,N/A (metric unavailable),cycles=50.37 inst; percent=N/A,N/A,99.11 %,N/A,258.05 us,0.26 warp,cycles=0.02 inst; percent=N/A,24 block,"721,228 wavefront","491,520 wavefront",100 %,10.67 wave/SM
layernorm,layernorm_row,layernorm_row,"rows=8192, cols=4096",layernorm_row_kernel,6,reports/ncu/layernorm_row_full.ncu-rep,N/A (metric unavailable),L2 total=1.37 Gbyte; DRAM read=271.44 Mbyte; write=106.00 Mbyte; total=377.44 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,3.31 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,0 inst,0 inst,cycles=0 inst; percent=N/A,cycles=0.00 inst; percent=N/A,cycles=0.27 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",1 shifted-Welford state reduction then normalize (source-derived),scalar row kernel,"load=4,194,560 request; store=1,048,576 request","load=69,214,208 sector; store=33,554,432 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),80.29 %,N/A (metric unavailable),cycles=20.95 inst; percent=N/A,N/A,100 %,N/A,2.00 ms,0.06 warp,cycles=11.29 inst; percent=N/A,24 block,0 wavefront,0 wavefront,83.33 %,0.05 wave/SM
layernorm,layernorm_vectorized,layernorm_vectorized,"rows=8192, cols=4096, aligned",layernorm_vectorized_kernel,6,reports/ncu/layernorm_vectorized_full.ncu-rep,N/A (metric unavailable),L2 total=497.34 Mbyte; DRAM read=134.28 Mbyte; write=94.93 Mbyte; total=229.21 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,9.06 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"90,112 inst","212,992 inst",cycles=6.50 inst; percent=N/A,cycles=1.22 inst; percent=N/A,cycles=1.27 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",1 shifted-Welford state reduction then normalize (source-derived),float4 kernel (source-derived),"load=1,114,112 request; store=262,144 request","load=16,842,752 sector; store=4,194,304 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),73.46 %,N/A (metric unavailable),cycles=46.61 inst; percent=N/A,N/A,85.82 %,N/A,247.94 us,0.24 warp,cycles=1.37 inst; percent=N/A,24 block,"155,698 wavefront","213,465 wavefront",100 %,10.67 wave/SM
layernorm,layernorm_warp_reduce,layernorm_warp_reduce,"rows=8192, cols=4096",layernorm_warp_reduce_kernel,6,reports/ncu/layernorm_warp_reduce_full.ncu-rep,N/A (metric unavailable),L2 total=484.27 Mbyte; DRAM read=134.26 Mbyte; write=96.91 Mbyte; total=231.17 Mbyte,load=0 conflict; store=0 conflict,instructions: load=0 inst; store=0 inst; requests: load=0 request; store=0 request,12.40 %,0 %,tensor=N/A; HMMA=N/A,N/A (metric unavailable),N/A,FADD=N/A; FMUL=N/A; FFMA=N/A,"90,112 inst","212,992 inst",cycles=3.35 inst; percent=N/A,cycles=0.04 inst; percent=N/A,cycles=0.33 inst; percent=N/A,"N/A (requires NSYS, not a kernel-only NCU report)",1 shifted-Welford state reduction then normalize (source-derived),scalar warp kernel,"load=4,259,840 request; store=1,048,576 request","load=16,842,752 sector; store=4,194,304 sector",N/A (source/SASS-derived; compare instruction work),N/A (metric unavailable),72.54 %,N/A (metric unavailable),cycles=42.48 inst; percent=N/A,N/A,90.35 %,N/A,258.72 us,0.35 warp,cycles=0.01 inst; percent=N/A,24 block,"155,665 wavefront","213,780 wavefront",100 %,10.67 wave/SM
